,Date,Ethereum_Price,Crypto Fear & Greed Index,Price_Change,Price_Movement
175,2019-05-31,267.81,61,-0.011874089839811863,up
176,2019-06-01,264.63,62,0.017647281109473667,down
177,2019-06-02,269.3,63,-0.07222428518380997,down
178,2019-06-03,249.85,66,-0.03542125275165098,up
179,2019-06-04,241.0,42,0.021576763485477102,up
180,2019-06-05,246.2,27,0.013200649878147841,flat
181,2019-06-06,249.45,34,0.0009220284626179076,down
182,2019-06-07,249.68,27,-0.020666453059916656,down
183,2019-06-08,244.52,62,-0.0534925568460658,up
184,2019-06-09,231.44,62,0.07124956792257175,down
185,2019-06-10,247.93,46,-0.01068850078651229,up
186,2019-06-11,245.28,61,0.0720808871493801,down
187,2019-06-12,262.96,60,-0.029434134469120687,up
188,2019-06-13,255.22,63,0.0335005093644698,up
189,2019-06-14,263.77,67,0.020055351252985743,flat
190,2019-06-15,269.06,75,-0.0021556530141975117,up
191,2019-06-16,268.48,80,0.02059743742550646,down
192,2019-06-17,274.01,84,-0.0345242874347651,up
193,2019-06-18,264.55,83,0.016632016632016633,up
194,2019-06-19,268.95,82,0.01096858152072877,up
195,2019-06-20,271.9,81,0.08841485840382513,up
196,2019-06-21,295.94,84,0.04605663310130437,flat
197,2019-06-22,309.57,83,-0.007591174855444582,up
198,2019-06-23,307.22,84,0.012629386107675167,up
199,2019-06-24,311.1,80,0.016297010607521756,up
200,2019-06-25,316.17,87,0.057816997185058616,down
201,2019-06-26,334.45,95,-0.12121393332336661,up
202,2019-06-27,293.91,92,0.05345173692626992,up
203,2019-06-28,309.62,62,0.026354886635230113,down
204,2019-06-29,317.78,74,-0.08568821197054555,up
205,2019-06-30,290.55,78,0.012355876785406839,flat
206,2019-07-01,294.14,65,-0.008635343713877641,up
207,2019-07-02,291.6,63,0.0362825788751715,down
208,2019-07-03,302.18,79,-0.06370375273016082,up
209,2019-07-04,282.93,76,0.017990315625773023,flat
210,2019-07-05,288.02,67,-0.00017359905562097655,up
211,2019-07-06,287.97,72,0.06427752890926142,up
212,2019-07-07,306.48,67,0.021861132863482124,down
213,2019-07-08,313.18,74,-0.016092981671882,down
214,2019-07-09,308.14,84,-0.06273122606607384,down
215,2019-07-10,288.81,83,-0.07035767459575493,up
216,2019-07-11,268.49,62,0.025997243845208517,down
217,2019-07-12,275.47,33,-0.02352343267869461,down
218,2019-07-13,268.99,65,-0.15744079705565273,flat
219,2019-07-14,226.64,61,0.006794917049064653,down
220,2019-07-15,228.18,16,-0.12941537382767987,up
221,2019-07-16,198.65,34,0.06408255726151513,up
222,2019-07-17,211.38,19,0.06845491531838399,down
223,2019-07-18,225.85,40,-0.02014611467788352,up
224,2019-07-19,221.3,42,0.03366470854044268,down
225,2019-07-20,228.75,34,-0.01468852459016401,down
226,2019-07-21,225.39,42,-0.036558853542748015,down
227,2019-07-22,217.15,42,-0.02436104075523826,up
228,2019-07-23,211.86,40,0.022137260455017405,up
229,2019-07-24,216.55,20,0.011729392749942225,flat
230,2019-07-25,219.09,42,0.0009585102012872326,down
231,2019-07-26,219.3,24,-0.05517555859553136,up
